M,N,C,a,err_C,execution_time
0,100,0.7205061947899575,"[ 4.24413183e-01 -1.53459159e-07  5.72987087e-06 -1.02168666e-04
  1.02209010e-03 -6.20233786e-03  2.35308642e-02 -5.50225035e-02
  7.23148548e-02 -3.51778345e-02 -2.09548453e-02  9.24553020e-03
  3.28058323e-02 -1.02848987e-02 -2.61018613e-02  3.33767344e-02
 -2.61017472e-02 -3.29215601e-02  5.61686030e-02 -1.82457770e-02
  1.94687761e-02  1.99310213e-02 -4.55658037e-02 -9.18763744e-03
  2.42985879e-02 -3.39257124e-02  8.46790900e-03  4.28591105e-02
 -2.75409403e-02 -7.40204769e-03  1.78155426e-02  1.29328890e-02
 -1.52750774e-02  2.16856061e-02 -2.59388612e-02  3.99851083e-03
 -5.75589981e-03 -5.94157524e-02  3.09398573e-02  4.76908066e-02
 -2.54723994e-02  4.55161271e-02  2.46485277e-02 -4.28441058e-02
 -2.95629212e-02  1.41030058e-02 -6.34208328e-02  1.02239747e-02
  4.03978561e-02 -3.41832839e-02 -7.50816223e-03  8.64460206e-02
  5.84088345e-03 -1.28914145e-02  5.34134421e-02 -2.09832095e-02
 -1.90233287e-02 -1.85349876e-02 -4.93274404e-02 -7.69873607e-03
 -5.30552827e-03 -1.78600778e-02  2.58327496e-02  3.01240236e-02
 -5.81193393e-02  3.96227998e-02  2.18046690e-02 -3.11370918e-02
  3.01235127e-02 -5.54198261e-05 -4.52691969e-03  3.82099081e-02
  5.38212805e-03  4.22870875e-03 -2.29112146e-02  5.97336440e-02
 -8.31847414e-02  2.33029748e-02 -6.40112527e-04 -1.18727543e-02
 -2.79560387e-02 -2.08974190e-02  5.93944340e-03 -5.14608552e-02
  3.32510731e-02  2.26783137e-02 -3.64184310e-03  4.37172500e-02
  4.77122687e-03  2.02636387e-02 -8.80006148e-03  4.25625395e-02
 -5.64478585e-02  2.03478452e-02 -4.65917084e-02 -3.10934418e-03
 -1.96216178e-02  9.20232490e-04  6.27533687e-02 -2.80045754e-02]",0.03721567988145558,-0.078125
1,10,0.7493260558831395,"[ 4.24413182e-01  2.30697581e-11 -3.00044527e-10  1.79673741e-09
 -5.63357306e-09  9.40272716e-09 -7.20627495e-09 -0.00000000e+00
  3.35068795e-09 -1.43404542e-09  8.45717108e-02  1.11000379e-01
 -6.02573629e-01  8.43603013e+00 -5.48341942e+01  2.10900741e+02
 -4.85071694e+02  6.58311572e+02 -4.85071676e+02  1.50141231e+02]",0.008395818788273557,-0.078125
0,75,0.7205061947899571,"[ 4.24413181e-01  3.63309609e-08 -1.13944371e-06  1.68130524e-05
 -1.36227880e-04  6.51640841e-04 -1.91347766e-03  3.73386385e-03
 -6.57079919e-03  1.38773974e-02 -2.20131999e-02  7.29036021e-03
  3.51603688e-02 -5.10682727e-02  1.48213458e-02  1.13409231e-02
 -3.75926227e-03  4.14685984e-03 -1.38938789e-02  1.33437117e-02
 -5.15682493e-03  1.17372509e-02 -2.60365707e-02  7.29435453e-03
  2.52713859e-02 -4.50643546e-02  2.54305715e-02  3.59537515e-02
 -4.63382049e-02  8.86057875e-03  1.69253550e-02 -2.55973968e-02
  8.09996425e-03  9.78570814e-03 -1.78049651e-02  2.21446145e-02
 -1.74775678e-02  3.52609437e-03  5.71862824e-03 -1.20285845e-02
  2.35052927e-02 -2.35686542e-02  1.56268607e-02  7.56747635e-03
 -1.29527360e-02 -1.20509097e-03 -1.77569880e-02  3.47125169e-02
 -8.05142195e-03 -1.53012183e-02  3.56793804e-03  1.36160377e-03
 -1.70919698e-03 -2.94056857e-03  2.43707019e-03  3.13695490e-04
  1.36063250e-02 -1.11413716e-02  4.26131180e-03  2.61640133e-02
 -2.94405319e-02 -2.59867105e-02  3.12914922e-02 -1.45645624e-02
  2.61684494e-02 -2.81170522e-02  7.12144333e-03  3.69729822e-02
 -5.75559552e-02  4.03074640e-02 -1.33700854e-02 -1.85820717e-02
  5.21090004e-03  2.81219692e-02 -1.63454412e-02]",0.03721567988145591,-0.078125
2,5,0.7545771545990961,"[ 4.24413182e-01  5.95492603e-14 -2.59042926e-13  4.19833218e-13
 -2.25551023e-13  8.69036515e-02  2.62731970e-02  5.51737136e-01
 -1.28738665e+00  1.47129903e+00  3.89504738e-02 -2.49870964e-02
  1.12441934e+00 -3.56066124e+00  4.98492573e+00]",0.00314472007231692,-0.03125
2,1,0.750094329002307,[0.42441318 0.11317685 0.05456741],0.007627545669106062,-0.09375
1,30,0.7493264451727544,"[ 4.24413182e-01 -4.47755275e-09  1.64156471e-07 -2.67110166e-06
  2.16673741e-05 -7.72245424e-05 -8.63845578e-05  2.07843695e-03
 -9.60924686e-03  2.41090745e-02 -3.57932349e-02  2.80697853e-02
 -2.48187919e-03 -1.42995888e-02  4.84004426e-03  1.56743308e-02
 -2.49053575e-02  2.04567178e-02 -7.98959865e-03 -9.53529756e-03
  1.71668661e-02 -4.79799370e-03 -9.48960401e-03  1.30825463e-02
 -7.98244041e-03 -5.65910868e-03  1.19894706e-02 -2.34476194e-03
 -4.37864450e-03  1.94393951e-03  8.46414033e-02  1.18589968e-01
 -1.41449324e+00  3.13388531e+01 -3.57189712e+02  2.39925033e+03
 -9.54270649e+03  2.08852274e+04 -1.82176079e+04 -5.89934182e+02
 -6.47770366e+04  2.65897944e+05 -2.38647221e+05 -2.52199781e+05
  3.47328300e+05  3.45176216e+05 -3.52295269e+05 -3.38552337e+05
 -6.35905736e+04  5.91718871e+05 -3.06365686e+04 -3.62153602e+05
  7.67321679e+05 -7.19392174e+05 -9.58762602e+05  1.37183621e+06
  3.13706550e+05 -7.67133188e+05  4.14646677e+04  1.09095163e+05]",0.00839542949865868,-0.09375
5,1,0.7516628478154254,[0.42441318 0.11317685 0.05456741 0.03233624 0.02143501 0.01526361],0.0060590268559876925,-0.046875
2,30,0.7546199481850395,"[ 4.24413182e-01 -4.47755275e-09  1.64156471e-07 -2.67110166e-06
  2.16673741e-05 -7.72245424e-05 -8.63845578e-05  2.07843695e-03
 -9.60924686e-03  2.41090745e-02 -3.57932349e-02  2.80697853e-02
 -2.48187919e-03 -1.42995888e-02  4.84004426e-03  1.56743308e-02
 -2.49053575e-02  2.04567178e-02 -7.98959865e-03 -9.53529756e-03
  1.71668661e-02 -4.79799370e-03 -9.48960401e-03  1.30825463e-02
 -7.98244041e-03 -5.65910868e-03  1.19894706e-02 -2.34476194e-03
 -4.37864450e-03  1.94393951e-03  8.46414033e-02  1.18589968e-01
 -1.41449324e+00  3.13388531e+01 -3.57189712e+02  2.39925033e+03
 -9.54270649e+03  2.08852274e+04 -1.82176079e+04 -5.89934182e+02
 -6.47770366e+04  2.65897944e+05 -2.38647221e+05 -2.52199781e+05
  3.47328300e+05  3.45176216e+05 -3.52295269e+05 -3.38552337e+05
 -6.35905736e+04  5.91718871e+05 -3.06365686e+04 -3.62153602e+05
  7.67321679e+05 -7.19392174e+05 -9.58762602e+05  1.37183621e+06
  3.13706550e+05 -7.67133188e+05  4.14646677e+04  1.09095163e+05
  3.64024800e-02  6.75491310e-02  4.80455123e-01 -1.16065538e+01
  2.18347961e+02 -2.48664455e+03  1.83280984e+04 -8.87682629e+04
  2.77691994e+05 -5.14715977e+05  3.76808214e+05  4.45367557e+05
 -1.02760874e+06  1.75554786e+05  7.66557413e+05 -3.24371002e+05
  8.65401193e+05 -2.11638052e+06 -3.66331667e+05  3.67378958e+06
 -3.36653867e+06  1.21684926e+06  4.77166745e+06 -8.84065058e+06
  6.19164461e+05  6.12191595e+06 -2.12560425e+06  1.32826754e+06
 -3.66576797e+06  1.78280333e+06]",0.0031019264863735296,-0.078125
1,50,0.7493264421664322,"[ 4.24413181e-01  6.68894929e-08 -2.42643399e-06  4.19920457e-05
 -4.09694089e-04  2.46222601e-03 -9.61653695e-03  2.54815901e-02
 -4.86256602e-02  7.32318998e-02 -8.95366899e-02  6.43105117e-02
  3.33257161e-02 -1.33626250e-01  1.28295382e-01 -5.47685377e-02
 -1.27349263e-02  8.80241484e-02 -1.21292211e-01  7.14251372e-02
 -2.51029447e-03 -4.79628566e-02  4.79115245e-02 -1.35572422e-02
  8.06261848e-03 -6.11747943e-03 -2.08806264e-02  4.19106272e-02
 -1.45085900e-02 -5.16776663e-02  1.18268651e-01 -9.92997106e-02
 -2.97753659e-02  9.25535971e-02 -8.31973707e-02  4.68553539e-02
  2.60340804e-02 -4.48287651e-03 -1.98906217e-02 -3.37156078e-02
  1.06033959e-01 -1.57182025e-01  7.85346247e-02  3.97416680e-02
 -8.17042903e-02  4.19383797e-02  2.44731890e-02  7.70769303e-03
 -5.37208761e-02  2.41717923e-02  8.48730136e-02  8.62027703e-02
  2.71291945e-02  1.26950374e+00 -1.32315874e+01  8.78269347e+01
 -3.40742045e+02  7.20190567e+02 -5.73199934e+02 -1.15619080e+02
 -1.97168175e+03  7.82692676e+03 -5.36075124e+03 -1.11666234e+04
  1.66806889e+04 -3.84885845e+03  6.03073437e+03 -1.74665780e+04
  1.01156685e+04  7.83255516e+03 -3.10588181e+04  2.55438768e+04
  1.00211562e+04 -4.34003538e+03 -1.00136159e+04  1.23291545e+04
 -1.68534576e+04 -3.58052246e+04  3.87755292e+04  2.76829759e+04
  1.00455931e+03 -2.59403169e+04  1.66240205e+04 -4.88215505e+04
 -4.33145241e+04  1.21012890e+05 -5.15314120e+04  8.35233652e+04
 -8.25944240e+04  5.61298199e+04 -9.26798239e+04 -3.10859002e+04
  7.60321874e+04 -7.19372340e+04  7.82774291e+04  4.36652423e+04
  2.53906745e+04 -4.38812042e+04 -1.18790038e+05  8.42099737e+04]",0.008395432504980871,-0.09375
2,20,0.7546199018639953,"[ 4.24413183e-01 -1.44571272e-07  5.48049867e-06 -1.00628832e-04
  1.05657543e-03 -6.90825093e-03  2.93216480e-02 -8.12990372e-02
  1.40808969e-01 -1.24076299e-01 -2.16247955e-02  1.72081772e-01
 -1.42235814e-01 -7.69650350e-03  5.47658710e-02  8.33247994e-03
 -2.66572755e-02 -8.44117637e-03  1.81517320e-02 -5.48460837e-03
  8.45720146e-02  1.31171233e-01 -2.14227937e+00  5.13908217e+01
 -6.69823471e+02  5.41658035e+03 -2.84104908e+04  9.82474083e+04
 -2.20131805e+05  2.94542808e+05 -1.67552461e+05 -7.90708343e+04
  9.99274234e+04  1.24520001e+05 -1.50017383e+05 -7.41923152e+04
  9.86805290e+04  8.61559691e+04 -1.27850664e+05  4.03624236e+04
  3.62863691e-02  8.98204491e-02 -8.90056997e-01  2.85929141e+01
 -4.48238339e+02  4.35327399e+03 -2.72748108e+04  1.12663175e+05
 -3.05351076e+05  5.24391728e+05 -5.36380741e+05  3.82564296e+05
 -5.89936825e+05  1.08006279e+06 -7.81882193e+05 -5.88428739e+04
 -2.99033960e+05  1.42271600e+06 -1.32938798e+06  4.02120046e+05]",0.003101972807417752,-0.078125
